hash,string,length,frequency,field_count
fc9d64a0f0528cdb230d21eafe8be26a,"Strauss, Richard",16,16,16
56d2ddf05869fc2896c092c7fd368c5e,"Bloom, Harold",13,16,16
e8ca399167f9f23c9e1aaa8b1c94b943,"Miller, John",12,15,14
a62dc4316fe6d7450bf7434643f8d8b8,"Wu, Han",7,14,14
f32f2609b9c0f610b48e99554e979924,"Wu, Han, 1909- 吳晗, 1909-",24,13,13
5845ac097b86092b058d08edf7ff7b8d,"Butler, John",12,12,12
de252af0b63315c0abd042c409a9fec6,"Mellon, Paul",12,11,11
3b39ece5685ee27c9e52ecd8fb34f647,"Allen, William",14,10,10
a0b396490e7d4b6738b706d61ff43842,"Wu, Han, 1909- 吴晗, 1909-",24,10,10
6b91c4c3427daaa05e7328fee804852,"Steiner, Rudolf",15,9,9
8e3b1516b8bd3e663772eb56db33bc3c,"Butler, Samuel",14,9,9
9a5660a47f3efc33eabe533f8b2eb042,"West, Benjamin",14,8,8
e1fb760441b05a3b9137d4897e24c69a,"Frost, Robert",13,8,8
d098f041617807590782fd8031495f65,"Hogarth, William",16,8,8
cd358aeab20e87310497c9c564eba9f6,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司马迁, approximately 145 B.C.-approximately 86 B.C.",106,7,7
b64a67d7944fdae033195364029b780b,"Robinson, Henry",15,7,7
ce4b6216fb60cdc9497a812e47ddeead,"Spencer, Herbert",16,7,7
613e4da0b6a70e55853fbde190f9dd28,"Price, Richard",14,6,6
87b5475fdc9409a86cf4dcdc9a91a258,"Smith, Chris",12,6,6
830cc8555293a17488e789f9f1a66d09,"Faulkner, William",17,6,6
92f02f71508d8f79e7e301e8ef6cb3ea,"Wu, Han, 1909-",14,6,6
56f3325f5096b827959d456cd78810ec,"Bolton, Robert",14,6,6
76e6a461a94ea6ccb310ff510d0d2d7a,"Joyce, James",12,6,6
d7ff86b2b18e73804ba0f8171b8cbd13,"Rowlandson, Thomas",18,6,3
57142eb5bafd08b02096bb5a9ec14196,Lucan,5,5,5
9fb5724c0946cbb8428db456fc9bc559,"Niederstein, Peter",18,4,4
46f6aa390f3ac2c1b5ec1b7e25b9893e,"Rowe, Nicholas",14,4,4
6e8f8f4205a3d83927d66b18f27850c1,"Hall, Joseph",12,4,4
ea01e9e64dc140a2aafb322cc5bab0b3,"Koch, Robert",12,4,4
2e04bdcfede844e6efdd458aa7c83b9a,"Owen, Robert",12,4,4
9fb99a2ce89eda0776b558e20bd3114e,"Priestley, Joseph",17,4,4
e988dcdd2fb2b2d9fcd57fb7f391c15a,"Cooper, James Fenimore",22,4,4
e247a9fdf7185e1ab30d722a6f1680d,"Ward, Seth",10,4,4
bd04c72ad3ac0ca366ad0412a719d94a,"Laud, William",13,4,4
11ed00cbf0a1653c1f01aa605b0fb27f,"Haley, James A.",15,4,4
c1bda89532e08b3c50693d46e884c6d5,"Everett, Edward",15,4,4
7167a34509faee5904e601b04c98903f,"Miller, Leslie",14,3,3
7c2d16864bf6b7baf78418c03eda573d,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司馬遷, approximately 145-approximately 86 B.C.",101,3,3
8a9d9b72c1e76df93a92949465e923ca,"Zhu, Xi, 1130-1200",18,3,3
57949e038bf0f96bc58f7fab9319ab77,"Sima, Qian, approximately 145 B.C.-approximately 86 B.C. 司馬迁, approximately 145 B.C.-approximately 86 B.C.",106,3,3
72d3971cceac11e262f1f045894e4ae1,"Clay, Henry",11,3,3
3f24f741443f520180e43c8e5000ecf6,"Zhu, Xi 朱禧",10,3,3
d5926d3230777e920adbdb19ae5d3551,"Mellon, Paul, Mrs",17,3,3
9c528ef1a512f2c9e1f911d02b4bc8e8,"Bassett, Leslie",15,2,2
d1664de3a18c81cfa287aa290bf7bb53,Riviere,7,2,2
99f6113343ba3a70cf78da760c2e64a2,"Buchan, John",12,2,2
9db6b1188cb56585f07d1db34595ef8e,"Wu, Han, 1909-1969 吳晗, 1909-1969",32,2,2
bb4ef3603ef84c8ea9a9469f3e8d459b,"Laughlin, James",15,2,2
cf9184c3d0502e5e08c21545bc5790d,"Miller, Philip",14,2,2
29ff3f70d7bece5bbe9c36c291b37d94,"Thayer, Nathaniel",17,2,2
ba80434cdd491b849fde5aa75eb3e42f,"Koch, Róbert",13,2,2
