threshold,fpr,tpr,precision,recall
0.32847893367106495,0.0,0.0,0.4964237386429538,1.0
0.3290268135591714,0.0,0.002596053997923157,0.49645572883103495,1.0
0.33030070229881275,0.0,0.0028556593977154725,0.49648772314236,1.0
0.3329081850787038,0.0,0.003115264797507788,0.4965197215777262,1.0
0.33295148553891624,0.0,0.0033748701973001036,0.496551724137931,1.0
0.3340595749464496,0.0,0.0036344755970924196,0.49658373082377205,1.0
0.3358608277077762,0.0,0.004023883696780893,0.49661574163604716,1.0
0.3376453281772069,0.0,0.004283489096573208,0.49664775657555443,1.0
0.3384131682456368,0.0,0.011682242990654205,0.496679775643092,1.0
0.3388968962227954,0.0,0.011941848390446522,0.49671179883945843,1.0
0.3396458220479711,0.0,0.04257528556593977,0.4967438261654523,1.0
0.3422774262759743,0.0,0.042834890965732085,0.4967758576218726,1.0
0.3423461742012882,0.0,0.04867601246105919,0.4968078932095183,1.0
0.3425838234142618,0.0,0.04893561786085151,0.4968399329291887,1.0
0.34263788456463856,0.0,0.0745067497403946,0.4968719767816833,1.0
0.3441992367306901,0.0,0.07476635514018691,0.4969040247678019,1.0
0.34447494656292404,0.0,0.07489615784008308,0.4969360768883442,1.0
0.34455842268196896,0.0,0.07515576323987538,0.4969681331441104,1.0
0.3446138504106373,0.0,0.07762201453790239,0.4970001935359009,1.0
0.34497079455173607,0.0,0.0778816199376947,0.4970322580645161,1.0
0.3455244052369974,0.0,0.0828141225337487,0.49706432673075684,1.0
0.3458055019777664,0.0,0.08307372793354102,0.49709639953542395,1.0
0.34584428487285646,0.0,0.0911214953271028,0.49712847647931857,1.0
0.3459387421023596,0.0,0.09138110072689512,0.4971605575632421,1.0
0.3465568406203958,0.0,0.09306853582554517,0.49719264278799613,1.0
0.34685357682720597,0.0,0.09332814122533749,0.49722473215438234,1.0
0.3468927155030146,0.0,0.0976116303219107,0.49725682566320273,1.0
0.3471489193365205,0.0,0.09787123572170302,0.4972889233152595,1.0
0.34738667791753125,0.0,0.09903946002076844,0.49732102511135495,1.0
0.3476769055293684,0.0,0.09929906542056074,0.4973531310522918,1.0
0.34817859796015477,0.0,0.10124610591900311,0.4973852411388727,1.0
0.34818999181881,0.0,0.10150571131879543,0.49741735537190085,1.0
0.3483029929514716,0.0,0.10981308411214953,0.49744947375217924,1.0
0.3483399514930724,0.0,0.11007268951194185,0.4974815962805114,1.0
0.3490167174355578,0.0,0.1133177570093458,0.497513722957701,1.0
0.34907543945276354,0.0,0.11370716510903427,0.4975458537845518,1.0
0.3491752352573972,0.0,0.11409657320872274,0.4975779887618679,1.0
0.34924092230940357,0.0,0.11435617860851506,0.49761012789045345,1.0
0.3493641321640165,0.0,0.11799065420560748,0.497642271171113,1.0
0.3497120997136896,0.0,0.1182502596053998,0.49767441860465117,1.0
0.34999781780844474,0.0,0.11838006230529595,0.49770657019187287,1.0
0.3503283628292563,0.0,0.11863966770508827,0.49773872593358315,1.0
0.3504058225018872,0.0,0.11902907580477674,0.4977708858305873,1.0
0.35080056483345884,0.0,0.11928868120456905,0.4978030498836909,1.0
0.350914304110668,0.0,0.12136552440290758,0.4978352180936995,1.0
0.3510562151044547,0.0,0.12162512980269989,0.49786739046141915,1.0
0.35110309844798177,0.0,0.12227414330218069,0.4978995669876559,1.0
0.3512316338472776,0.0,0.122533748701973,0.49793174767321613,1.0
0.35126788311085105,0.0,0.12474039460020768,0.49796393251890636,1.0
0.3519448663097217,0.0,0.125,0.4979961215255333,1.0
0.352351795318458,0.0,0.1256490134994808,0.49802831469390396,1.0
0.3524696924526804,0.0,0.1259086188992731,0.49806051202482543,1.0
0.35249018374878577,0.0,0.12694704049844235,0.49809271351910517,1.0
0.35270650603608167,0.0,0.1272066458982347,0.49812491917755075,1.0
0.3529374390799518,0.0,0.13655244029075805,0.4981571290009699,1.0
0.35328402479043747,0.0,0.13681204569055036,0.4981893429901707,1.0
0.3533390944971144,0.0,0.137331256490135,0.49822156114596133,1.0
0.353425636105122,0.0,0.1375908618899273,0.49825378346915017,1.0
0.3534508889093966,0.0,0.1394080996884735,0.4982860099605459,1.0
0.3535690025000771,0.0,0.13966770508826584,0.4983182406209573,1.0
0.35361904551530177,0.0,0.14122533748701974,0.4983504754511935,1.0
0.35405398494899926,0.0,0.14148494288681204,0.49838271445206367,1.0
0.35431461912921525,0.0,0.14265316718587748,0.4984149576243773,1.0
0.3546098450455626,0.0,0.14291277258566978,0.4984472049689441,1.0
0.35470193974280123,0.0,0.14434060228452752,0.49847945648657394,1.0
0.35479407312864614,0.0,0.14460020768431983,0.4985117121780769,1.0
0.3549230911479893,0.0,0.14563862928348908,0.49854397204426326,1.0
0.35514414210802264,0.0,0.14589823468328142,0.4985762360859436,1.0
0.3555114862948634,0.0,0.14758566978193147,0.49860850430392856,1.0
0.3555522090255822,0.0,0.14784527518172377,0.4986407766990291,1.0
0.3556972688456006,0.0,0.15005192107995846,0.49867305327205647,1.0
0.3558448667127997,0.0,0.15031152647975077,0.49870533402382183,1.0
0.3559137608710509,0.0,0.15342679127725856,0.4987376189551369,1.0
0.35602171712036174,0.0,0.1536863966770509,0.4987699080668134,1.0
0.3560840847041289,0.0,0.1539460020768432,0.4988022013596633,1.0
0.35619051366355325,0.0,0.1542056074766355,0.4988344988344988,1.0
0.356533051453599,0.0,0.15758047767393563,0.49886680049213233,1.0
0.35655514693116386,0.0,0.15784008307372793,0.49889910633337653,1.0
0.35668822851218324,0.0,0.16147455867082036,0.4989314163590441,1.0
0.3567684389037069,0.0,0.16173416407061267,0.4989637305699482,1.0
