entity1,entity2,confidence,threshold,margin
13930743#Agent100-10,7932218#Agent600-24,0.7000251897361796,0.7,2.51897361795983e-05
13578901-ffafdc54-ec8d-4fa6-bc5a-3344f3aac1d9#http://id.loc.gov/rwo/agents/n93030979,15646245-d7b18ad4-221a-442f-a058-250f6261f25a#http://id.loc.gov/rwo/agents/n95028632,0.7000272189808082,0.7,2.721898080826346e-05
16043945#Agent700-50,4183202#Hub240-20-Agent,0.7000538528340549,0.7,5.38528340549016e-05
11774403#Agent700-30,16043963#Agent700-32,0.7000541292197519,0.7,5.412921975189722e-05
15805682-a9f955fe-4c95-4682-b827-e8c86991853c#http://id.loc.gov/rwo/agents/n80038441,9351674#Agent100-10,0.7000549622529105,0.7,5.4962252910573106e-05
13933224#Agent100-10,6926491#Agent600-29,0.700056080888507,0.7,5.608088850705961e-05
11257757#Agent700-68,16044363#Agent700-33,0.7000648766325602,0.7,6.487663256027343e-05
1039598#Hub240-19-Agent,2103845#Agent600-21,0.7000714418381007,0.7,7.144183810070537e-05
11257757#Agent700-69,16044363#Agent700-34,0.7000744269241687,0.7,7.442692416870234e-05
1586738#Hub240-16-Agent,2957451#Agent700-18,0.7000774107925618,0.7,7.741079256184946e-05
11257757#Agent700-67,16044363#Agent700-32,0.7000876770995659,0.7,8.767709956591929e-05
10973876#Agent600-19,1180165#Agent600-21,0.7001011710897945,0.7,0.00010117108979457168
10092619#Agent700-34,16044214#Agent700-41,0.700103290127655,0.7,0.00010329012765508683
11774403#Agent700-30,16044360#Agent700-33,0.700110183581127,0.7,0.00011018358112702131
11257757#Agent700-68,16044277#Agent700-33,0.7001209841523468,0.7,0.000120984152346848
1268837#Agent700-19,1737312#Agent100-12,0.7001211506883395,0.7,0.00012115068833951081
11257757#Agent700-69,16044278#Agent700-32,0.7001306033874615,0.7,0.00013060338746151423
12427637#Agent600-29,13930743#Agent100-10,0.7001430485692534,0.7,0.00014304856925340115
10092619#Hub240-13-Agent,6255540#Agent600-22,0.7001800470418129,0.7,0.0001800470418129585
11317446#Agent700-35,16044379#Agent700-34,0.7002076799734696,0.7,0.00020767997346959888
16044379#Agent700-34,8917889#Agent100-15,0.7002254621399278,0.7,0.00022546213992780118
11257757#Agent700-69,16044363#Agent700-32,0.7002316708260672,0.7,0.00023167082606723177
11257757#Agent700-66,16044363#Agent700-33,0.7002317124603148,0.7,0.00023171246031483683
16044277#Agent700-33,660801#Hub240-16-Agent,0.7002388619503619,0.7,0.00023886195036193492
10092619#Agent700-35,16044214#Agent700-41,0.7002392180409612,0.7,0.0002392180409612754
13933224#Agent100-10,5952439#Agent600-19,0.7002418237811103,0.7,0.00024182378111037295
1586738#Hub240-16-Agent,548572#Agent600-23,0.7002445080429968,0.7,0.00024450804299680495
13933225#Agent100-10,9525838#Hub240-12-Agent,0.7002558027198027,0.7,0.0002558027198027446
1099434#Agent100-17,6305585#Agent100-15,0.7002560689496516,0.7,0.0002560689496516888
16044379#Agent700-34,8917889#Agent700-30,0.700257133805983,0.7,0.00025713380598302304
12974399#Hub240-14-Agent,16044349#Agent700-32,0.7002712583279128,0.7,0.00027125832791286
1722356#Agent100-12,9865064-1557bf07-c106-4655-b80c-9bf9aa42190b#http://id.loc.gov/rwo/agents/n80126106,0.7002977340195984,0.7,0.00029773401959842793
14480363-22e89c55-7141-4d30-afa2-b2dc69dcffd8#http://id.loc.gov/rwo/agents/n50007219,3518046#Agent600-35,0.7002997135269042,0.7,0.0002997135269042772
14480363-22e89c55-7141-4d30-afa2-b2dc69dcffd8#http://id.loc.gov/rwo/agents/n50007219,3518046#Agent600-41,0.7002997135269042,0.7,0.0002997135269042772
1760525#Agent700-37,8331885#Agent600-22,0.7003209465834772,0.7,0.00032094658347725513
12328111#Agent100-17,16043945#Agent700-50,0.7003240220001822,0.7,0.0003240220001822225
12851240#Agent600-29,13933229#Agent100-10,0.7003289070455443,0.7,0.0003289070455443355
12427637#Agent600-29,13932535#Agent100-10,0.7003305425393973,0.7,0.00033054253939734934
1339998#Agent100-13,7399951#Agent100-10,0.7003322132429397,0.7,0.0003322132429397495
1339998#Agent100-13,1559476#Agent100-14,0.7003322132429397,0.7,0.0003322132429397495
10092619#Agent700-36,16044366#Agent700-32,0.7003484619792515,0.7,0.0003484619792515353
13933229#Agent100-10,6926491#Agent600-29,0.7003524059779217,0.7,0.00035240597792174366
11257757#Agent700-69,16044277#Agent700-33,0.7003602051310482,0.7,0.00036020513104828566
