hash,string,length,frequency,field_count
a6f0e62106a36cad004d9e83e6a89f2,Tuberculosis,12,4,4
17612041682aade34a68b7134dca8150,"Faulkner, William, 1897-1962--Criticism and interpretation",58,4,4
9d5e24441efdf05ebc5ecd18f7a5bfd3,"Songs (High voice) with piano; Songs (High voice) with orchestra; Songs, German; Motion picture music; Musicals--Austria--Vienna; Music--Austria--Vienna",152,4,4
b2b3c781c46d2e376541bf852c86f5ec,Education,9,4,4
3935b2ec36fe8f793cd592ba7ae3e72,String quartets; String trios,29,4,4
420ff2970a6cd427cb91637f9b41f8b3,Piano music; Scherzos,21,4,4
42aa6723f3bf65510a794eb52c62d1ed,Political sociology; Political science,38,3,3
a618eb8584d545b10a36a874854c30b,"Baum, L. Frank (Lyman Frank), 1856-1919--Presentation inscription to J.W. Neal; Neal, Joseph Ward--Presentation inscription from L.F. Baum; Baum, L. Frank (Lyman Frank), 1856-1919--Presentation inscription to E.F. Parmelee; Parmelee, Edwin F.--Presentation inscription from L.F. Baum",283,3,3
50b60e7e8f358276ae2cf1f555187c73,"Brazilian poetry--20th century--Periodicals; Pound, Ezra, 1885-1972--Ownership; Laughlin, James, 1914---Presentation inscription from A. de Campos; Campos, Augusto de--Presentation inscription to J. Laughlin; Laughlin, James, 1914---Presentation inscription from H. de Campos; Campos, Haroldo de--Presentation inscription to J. Laughlin; Campos, Haroldo de--Autograph presentation inscription to R. M. Morse; Laughlin, James, 1914---Presentation inscription from D. Pignatares; Pignatari, Décio---Presentation inscription to J. Laughlin; Pignatari, Décio---Autograph presentation inscription to R. M. Morse; Morse, Richard M. (Richard McGee), 1922-2001--Autograph presentation inscription from H. de Campos; Morse, Richard M. (Richard McGee), 1922-2001--Autograph presentation inscription from D. Pignatari",808,3,3
ff4ca070047c1f863488e3c9b5a90c5d,"Cooper, Alan--Autograph",23,3,3
2a2efaef6aff4a4a8291b9a36beeb3b4,"Joyce, James, 1882-1941. Ulysses--Adaptations; Bloom, Leopold (Fictitious character); Fine books--Ireland--Dublin--Specimens; Ulysses (Joyce, James); Fine books; Ireland--Dublin; Typefaces (Type evidence)--Granby Inline; Typefaces (Type evidence)--Baskerville (Monotype); Murphy, Jamie (Printer)--Autograph",306,3,3
a993315f3ccb13decb19dd9ae58b00e5,"Newman, John Henry, 1801-1890--Correspondence",45,3,3
5c3c244acdb6f53aab5b24fa75897a76,"Owen, Robert, 1771-1858--Inscription; Owen, Robert, 1771-1858--Autograph; New Lanark Establishment; Communism--Great Britain",124,3,3
1c02ecd963c8dbbbcdd85ecb928989b,Sonatas (Piano); Ländler (Music),33,3,3
293f0f1fc952c0662b26cda841492c1b,"Concertos (Trombone)--Solo with piano; Bassett, Leslie, 1923-2016--Manuscripts--Facsimiles; Music--Manuscripts--Facsimiles",122,3,3
94c347ef1b6d1339a42929347b2f9c3,"Faulkner, William, 1897-1962. Absalom, Absalom!; Faulkner, William, 1897-1962--Manuscripts; Manuscripts, American",113,3,3
88c9ac4bb3a166c3e8c7e9457c1550c9,"Teenage boys--Fiction; Gay youth--Fiction; LGBTQ resource; White, Edmund, 1940---Presentation inscription to M. Foucault; Foucault, Michel, 1926-1984--Presentation inscription from E. White",189,3,3
a0a4793ed109c8ed7f225931068f0846,masterclass,11,3,3
94f0fb843fe3a801d777b9e3a257e849,Devotional literature,21,3,3
80d43c40e5808fe1628dbd4d08b05df1,"Browning, Robert, 1812-1889--Art--Catalogs; Art--Catalogs; Manuscripts--Catalogs; Autographs--Collections; Books--Owners' marks; Browning, Robert, 1812-1889--Manuscripts--Catalogs; Browning, Robert, 1812-1889--Autographs--Collections; Browning, Elizabeth Barrett, 1806-1861--Manuscripts--Catalogs; Browning, Elizabeth Barrett, 1806-1861--Autographs--Collections; Browning, Robert, 1812-1889",390,3,3
7e90ad4b936ddaad960ee52eaec3d764,"Baxter, Richard, 1615-1691. Treatise of episcopacy; Baxter, Richard, 1615-1691. Mr. Baxter's judgment and reasons against communicating with the parish assemblies; Chauncy, Isaac, 1632-1712. Theological dialogue; Rothesay, Stuart de--Stamp; Charles Stuart, baron, 1779-1845--Binding; Tempsford Hall Library--Bookplate; Brownists; Protestantism; Brit Tracts--1684",362,3,3
82baf00ccfc0dde247409f2c63e6e499,Sales--Great Britain; Sales--United States; Sales--France; Personal property,76,3,3
c232b50a5f8a465c1c90fa8d09441416,"Laughlin, James, 1914-1997--Presentation inscription to G. Stein; Laughlin, James, 1914-1997--Presentation inscription to W.C. Williams; William, Carlos William, 1883-1963--Presentation inscription from J. Laughlin; Stein, Gertrude, 1874-1946--Presentation inscription from J. Laughlin",285,3,3
e752f355f254d976bb96ce3f7f8a9cfc,"Joyce, James, 1882-1941--Autograph; Morris, Lloyd R 1893-1954--Presentation inscription from J. Joyce; Joyce, James, 1882-1941--Presentation inscription to L. Morris",165,3,3
bedb65c10c2e7fcc60979b30dd80772c,"Joyce, James, 1882-1941--Technique; Joyce, James, 1882-1941. Finnegans wake; Joyce, James, 1882-1941. Ulysses; Literature and technology--Ireland--History--20th century; Modernism (Literature)--Ireland; Fiction--Technique",221,3,3
