field,count,min_length,max_length,mean_length,median_length,std_length
title,1799,2,868,104.70483602001111,65,108.37170780589521
composite,2257,53,3382,400.5427558706247,353,218.8359222978033
person,159,3,106,24.19496855345912,21,18.156024690063102
subjects,1459,2,3109,135.47566826593558,87,180.5473133045264
provision,1664,4,365,56.34134615384615,44,40.989343386602236
