hash,string,length,frequency,field_count
97fc60459157bf48e74cc170e0957538,"Subject: Hoadly, Benjamin, 1676-1761
Title: A report of the committee of the Lower House of Convocation appointed to draw up a representation to be laid before the arch-bishop and bishops of the Province of Canterbury: concerning several dangerous positions and doctrines contained in the Bishop of Bangor's Preservative and his sermon preach'd March 31, 1717 ...
Subjects: Hoadly, Benjamin, 1676-1761. Nature of the kingdom or church of Christ; Hoadly, Benjamin, 1676-1761. Preservative against the principles and practices of the nonjurors both in church and state; Authority--Religious aspects--Early works to 1800; Church of England--Government; Anglican Communion--Great Britain--Government--Early works to 1800
Provision information: London: Printed for John Morphew ..., 1717",782,2,2
ff2f422cae040f1b5991224828423de,"Subject: Cooper, James Fenimore
Title: Literature in the Early American Republic: annual studies on Cooper and his contemporaries
Variant titles: Literature in the Early American Republic; LEAR
Subjects: Cooper, James Fenimore, 1789-1851--Criticism and interpretation--Periodicals; Cooper, James Fenimore, 1789-1851; Cooper, James Fenimore 1789-1851; Cooper, James Fenimore--Schriftenreihe; Cooper, James Fenimore--Rezeption--Schriftenreihe; 1783-1850; American literature--1783-1850--Periodicals
Provision information: Brooklyn, NY: AMS Press, ©2009-",551,2,2
9e0d306169234ddaf52198ea34a8b81d,"Subject: Faulkner, William, 1897-1962
Title: Faulkner's revision of Absalom, Absalom!: A collation of the manuscript and the published book
Subjects: Faulkner, William, 1897-1962. Absalom, Absalom!; Faulkner, William, 1897-1962--Manuscripts; Manuscripts, American
Provision information: Austin: University of Texas, c1971",321,2,2
bcd6dff0665d225b123af3cb7e2c31b0,"Subject: Sima, Qian, approximately 145 B.C.-approximately 86 B.C.司馬遷, approximately 145 B.C.-approximately 86 B.C.
Title: Sima Qian yu Shi ji xin tan; 司馬遷與史記新探
Attribution: Zhang Weiyue bian張維嶽編．
Subjects: Sima, Qian, approximately 145 B.C.-approximately 86 B.C. Shi ji; 司馬遷, approximately 145 B.C.-approximately 86 B.C. 史記．; China--History--To 221 B.C; China--History--Qin dynasty, 221-207 B.C; China--History--Han dynasty, 201 B.C.-220 A.D
Provision information: Taibei Shi: Song gao shu she, Minguo 74 [1985]; 台北市: 崧高書社, 民國74 [1985]",535,2,2
4b61031ceb6f4d7a2e6d56e5d3f322c9,"Subject: Joyce, James, 1882-1941
Title: Bloomsday: a celebration of Joyce's Dublin
Subjects: Joyce, James, 1882-1941--Knowledge--Dublin (Ireland); Joyce, James, 1882-1941. Ulysses; Dublin (Ireland)--In literature
Provision information: Blackrock, Co. Dublin: DBA Publications, c1988",282,2,2
a06b140836f7db5d179ec7b7a954e69b,"Contributor: Butler, John, 1717-1802
Title: Miscellaneous tracts; viz: Some account of the character of Late the Right Honourable Henry Bilson Legge; with the letters which passed between that gentleman and Mr. Samuel Martin, relative to the Hampshire election in 1759. The budget, in 1764. The state of the nation, in 1765. A caveat in behalf of public credit, in 1768. Considerations on the marriage of His Royal Highness the Duke of Cumberland, in 1772. Observations on the memoirs of Great Britain, by Sir John Dalrymple, in 1773.
Subjects: Great Britain. Treasury--Officials and employees--Early works to 1800
Provision information: London: Printed for J. Almon, opposite Burlington-House, in Piccadilly, MDCCLXXIII. [1773]",728,2,2
1d38cac4a4919f99a00b6cce1576f603,"Subject: Lucan, 39-65
Title: The transmission and scholia to Lucan's Bellum civile
Attribution: Shirley Werner
Subjects: Lucan, 39-65. Pharsalia--Criticism, Textual; Lucan, 39-65--Scholia; Manuscripts, Latin; Transmission of texts
Provision information: Hamburg: Lit, 1998",272,2,2
3d049dbca6d15c1dca27d888f3b420dc,"Contributor: Thomas, Isaiah, 1749-1831
Title: To the customers for Thomas's Massachusetts spy ...
Subjects: Massachusetts. Act for repealing a law ... intitled, ""An act imposing duties on licenced vellum, parchment and paper,"" and for imposing other duties on certain papers ..; Massachusetts spy (Worcester); Worcester Magazine (1786-1788); Massachusetts weekly spy; Publishers and publishing--Massachusetts--Worcester; Periodicals--Publishing--Massachusetts--Worcester; Freedom of the press--Massachusetts; Newspaper publishing--Massachusetts--Worcester; Advertising laws--Massachusetts
Provision information: [Worcester, Mass]: [1786]",637,2,2
c8b67ecc73946182eb200b9bce458051,"Subject: Ward, Seth, 1617-1689
Title: The life of the Right Reverend Father in God, Seth, Lord Bishop of Salisbury and chancellor of the most noble Order of the Garter: with a brief account of Bishop Wilkins, Mr. Lawrence Rooke, Dr. Isaac Barrow, Dr. Turbervile, and others
Attribution: written by Dr. Walter Pope ...
Subjects: Wilkins, John, 1614-1672; Rooke, Lawrence, 1622-1662; Barrow, Isaac, 1630-1677; Turberville, Daubeney, 1612-1696
Genres: Biographies
Provision information: London: Printed for William Keblewhite ..., 1697",532,2,2
50b07f550651c514bd819ff61f070288,"Subject: Mellon, Paul
Title: Turner at Bonneville
Attribution: Andrew Wilton
Subjects: Turner, J. M. W. (Joseph Mallord William), 1775-1851--Travel--Switzerland; Turner, J. M. W. (Joseph Mallord William), 1775-1851--Travel--France; Mellon, Paul--Art patronage; Mellon, Paul--Art collections; Nature (Aesthetics)
Provision information: [Washington]: [National Gallery of Art], [1986]",382,2,2
